 População Residente - Estimativas para o TCU - Rio Grande do Sul
População estimada por Município
Período:2019
"Município";"População_estimada"
"430003 Aceguá";4901
"430005 Água Santa";3748
"430010 Agudo";16461
"430020 Ajuricaba";7024
"430030 Alecrim";5950
"430040 Alegrete";73589
"430045 Alegria";3464
"430047 Almirante Tamandaré do Sul";1964
"430050 Alpestre";6258
"430055 Alto Alegre";1638
"430057 Alto Feliz";3028
"430060 Alvorada";210305
"430063 Amaral Ferrador";7031
"430064 Ametista do Sul";7409
"430066 André da Rocha";1333
"430070 Anta Gorda";5981
"430080 Antônio Prado";13050
"430085 Arambaré";3581
"430087 Araricá";5698
"430090 Aratiba";6235
"430100 Arroio do Meio";20805
"430107 Arroio do Padre";2937
"430105 Arroio do Sal";10065
"430120 Arroio do Tigre";13373
"430110 Arroio dos Ratos";14151
"430130 Arroio Grande";18293
"430140 Arvorezinha";10424
"430150 Augusto Pestana";6661
"430155 Áurea";3554
"430160 Bagé";121143
"430163 Balneário Pinhal";14068
"430165 Barão";6171
"430170 Barão de Cotegipe";6623
"430175 Barão do Triunfo";7487
"430185 Barra do Guarita";3248
"430187 Barra do Quaraí";4215
"430190 Barra do Ribeiro";13491
"430192 Barra do Rio Azul";1690
"430195 Barra Funda";2539
"430180 Barracão";5275
"430200 Barros Cassal";11199
"430205 Benjamin Constant do Sul";1994
"430210 Bento Gonçalves";120454
"430215 Boa Vista das Missões";2098
"430220 Boa Vista do Buricá";6712
"430222 Boa Vista do Cadeado";2470
"430223 Boa Vista do Incra";2603
"430225 Boa Vista do Sul";2783
"430230 Bom Jesus";11349
"430235 Bom Princípio";14055
"430237 Bom Progresso";1942
"430240 Bom Retiro do Sul";12328
"430245 Boqueirão do Leão";7714
"430250 Bossoroca";6279
"430258 Bozano";2123
"430260 Braga";3353
"430265 Brochier";5074
"430270 Butiá";20941
"430280 Caçapava do Sul";33624
"430290 Cacequi";12561
"430300 Cachoeira do Sul";82201
"430310 Cachoeirinha";130293
"430320 Cacique Doble";5065
"430330 Caibaté";4846
"430340 Caiçara";4743
"430350 Camaquã";66261
"430355 Camargo";2733
"430360 Cambará do Sul";6431
"430367 Campestre da Serra";3388
"430370 Campina das Missões";5474
"430380 Campinas do Sul";5454
"430390 Campo Bom";66712
"430400 Campo Novo";4484
"430410 Campos Borges";3320
"430420 Candelária";31365
"430430 Cândido Godói";6198
"430435 Candiota";9584
"430440 Canela";44998
"430450 Canguçu";56045
"430460 Canoas";346616
"430461 Canudos do Vale";1716
"430462 Capão Bonito do Sul";1654
"430463 Capão da Canoa";53049
"430465 Capão do Cipó";3651
"430466 Capão do Leão";25354
"430468 Capela de Santana";11940
"430469 Capitão";2757
"430467 Capivari do Sul";4660
"430471 Caraá";8270
"430470 Carazinho";62110
"430480 Carlos Barbosa";29833
"430485 Carlos Gomes";1377
"430490 Casca";9031
"430495 Caseiros";3202
"430500 Catuípe";8774
"430510 Caxias do Sul";510906
"430511 Centenário";2891
"430512 Cerrito";6091
"430513 Cerro Branco";4691
"430515 Cerro Grande";2311
"430517 Cerro Grande do Sul";12239
"430520 Cerro Largo";14133
"430530 Chapada";9269
"430535 Charqueadas";40789
"430537 Charrua";3279
"430540 Chiapetta";3756
"430543 Chuí";6704
"430544 Chuvisca";5441
"430545 Cidreira";16254
"430550 Ciríaco";4747
"430558 Colinas";2438
"430560 Colorado";3175
"430570 Condor";6753
"430580 Constantina";9911
"430583 Coqueiro Baixo";1501
"430585 Coqueiros do Sul";2306
"430587 Coronel Barros";2519
"430590 Coronel Bicaco";7325
"430593 Coronel Pilar";1628
"430595 Cotiporã";3853
"430597 Coxilha";2756
"430600 Crissiumal";13448
"430605 Cristal";8009
"430607 Cristal do Sul";2847
"430610 Cruz Alta";60299
"430613 Cruzaltense";1833
"430620 Cruzeiro do Sul";12348
"430630 David Canabarro";4740
"430632 Derrubadas";2805
"430635 Dezesseis de Novembro";2427
"430637 Dilermando de Aguiar";3014
"430640 Dois Irmãos";32671
"430642 Dois Irmãos das Missões";2026
"430645 Dois Lajeados";3400
"430650 Dom Feliciano";15414
"430660 Dom Pedrito";38461
"430655 Dom Pedro de Alcântara";2534
"430670 Dona Francisca";3041
"430673 Doutor Maurício Cardoso";4549
"430675 Doutor Ricardo";1983
"430676 Eldorado do Sul";41285
"430680 Encantado";22706
"430690 Encruzilhada do Sul";25877
"430692 Engenho Velho";1034
"430695 Entre Rios do Sul";2792
"430693 Entre-Ijuís";8475
"430697 Erebango";2991
"430700 Erechim";105862
"430705 Ernestina";3168
"430720 Erval Grande";4859
"430730 Erval Seco";6912
"430740 Esmeralda";3282
"430745 Esperança do Sul";2926
"430750 Espumoso";15588
"430755 Estação";5958
"430760 Estância Velha";50022
"430770 Esteio";83202
"430780 Estrela";34116
"430781 Estrela Velha";3655
"430783 Eugênio de Castro";2396
"430786 Fagundes Varela";2731
"430790 Farroupilha";72331
"430800 Faxinal do Soturno";6677
"430805 Faxinalzinho";2315
"430807 Fazenda Vilanova";4533
"430810 Feliz";13547
"430820 Flores da Cunha";30745
"430825 Floriano Peixoto";1766
"430830 Fontoura Xavier";10304
"430840 Formigueiro";6664
"430843 Forquetinha";2412
"430845 Fortaleza dos Valos";4320
"430850 Frederico Westphalen";31313
"430860 Garibaldi";35070
"430865 Garruchos";2924
"430870 Gaurama";5534
"430880 General Câmara";8385
"430885 Gentil";1634
"430890 Getúlio Vargas";16212
"430900 Giruá";16004
"430905 Glorinha";8098
"430910 Gramado";36232
"430912 Gramado dos Loureiros";2082
"430915 Gramado Xavier";4325
"430920 Gravataí";281519
"430925 Guabiju";1503
"430930 Guaíba";98143
"430940 Guaporé";25727
"430950 Guarani das Missões";7537
"430955 Harmonia";4866
"430710 Herval";6821
"430957 Herveiras";3018
"430960 Horizontina";19329
"430965 Hulha Negra";6776
"430970 Humaitá";4762
"430975 Ibarama";4406
"430980 Ibiaçá";4709
"430990 Ibiraiaras";7262
"430995 Ibirapuitã";4013
"431000 Ibirubá";20350
"431010 Igrejinha";36899
"431020 Ijuí";83475
"431030 Ilópolis";4078
"431033 Imbé";22800
"431036 Imigrante";3120
"431040 Independência";6167
"431041 Inhacorá";2226
"431043 Ipê";6640
"431046 Ipiranga do Sul";1889
"431050 Iraí";7241
"431053 Itaara";5499
"431055 Itacurubi";3465
"431057 Itapuca";2094
"431060 Itaqui";37620
"431065 Itati";2419
"431070 Itatiba do Sul";3324
"431075 Ivorá";1910
"431080 Ivoti";24293
"431085 Jaboticaba";3810
"431087 Jacuizinho";2692
"431090 Jacutinga";3561
"431100 Jaguarão";26680
"431110 Jaguari";10848
"431112 Jaquirana";3716
"431113 Jari";3503
"431115 Jóia";8560
"431120 Júlio de Castilhos";19293
"431123 Lagoa Bonita do Sul";2903
"431127 Lagoa dos Três Cantos";1609
"431130 Lagoa Vermelha";27807
"431125 Lagoão";6452
"431140 Lajeado";84014
"431142 Lajeado do Bugre";2564
"431150 Lavras do Sul";7480
"431160 Liberato Salzano";5219
"431162 Lindolfo Collor";6054
"431164 Linha Nova";1714
"431171 Maçambará";4587
"431170 Machadinho";5445
"431173 Mampituba";2981
"431175 Manoel Viana";7299
"431177 Maquiné";6714
"431179 Maratá";2691
"431180 Marau";44161
"431190 Marcelino Ramos";4402
"431198 Mariana Pimentel";3885
"431200 Mariano Moro";2031
"431205 Marques de Souza";4009
"431210 Mata";4823
"431213 Mato Castelhano";2540
"431215 Mato Leitão";4515
"431217 Mato Queimado";1648
"431220 Maximiliano de Almeida";4377
"431225 Minas do Leão";8075
"431230 Miraguaí";4925
"431235 Montauri";1453
"431237 Monte Alegre dos Campos";3226
"431238 Monte Belo do Sul";2548
"431240 Montenegro";65264
"431242 Mormaço";3085
"431244 Morrinhos do Sul";2949
"431245 Morro Redondo";6568
"431247 Morro Reuter";6407
"431250 Mostardas";12804
"431260 Muçum";4954
"431261 Muitos Capões";3162
"431262 Muliterno";1893
"431265 Não-Me-Toque";17624
"431267 Nicolau Vergueiro";1682
"431270 Nonoai";11695
"431275 Nova Alvorada";3625
"431280 Nova Araçá";4759
"431290 Nova Bassano";9916
"431295 Nova Boa Vista";1775
"431300 Nova Bréscia";3330
"431301 Nova Candelária";2698
"431303 Nova Esperança do Sul";5352
"431306 Nova Hartz";21615
"431308 Nova Pádua";2553
"431310 Nova Palma";6512
"431320 Nova Petrópolis";21353
"431330 Nova Prata";27257
"431333 Nova Ramada";2242
"431335 Nova Roma do Sul";3689
"431337 Nova Santa Rita";29300
"431349 Novo Barreiro";4164
"431339 Novo Cabrais";4196
"431340 Novo Hamburgo";246748
"431342 Novo Machado";3323
"431344 Novo Tiradentes";2211
"431346 Novo Xingu";1719
"431350 Osório";45994
"431360 Paim Filho";3828
"431365 Palmares do Sul";11318
"431370 Palmeira das Missões";33303
"431380 Palmitinho";7057
"431390 Panambi";43667
"431395 Pantano Grande";9174
"431400 Paraí";7657
"431402 Paraíso do Sul";7611
"431403 Pareci Novo";3837
"431405 Parobé";58272
"431406 Passa Sete";5702
"431407 Passo do Sobrado";6535
"431410 Passo Fundo";203275
"431413 Paulo Bento";2293
"431415 Paverama";8487
"431417 Pedras Altas";1982
"431420 Pedro Osório";7730
"431430 Pejuçara";3874
"431440 Pelotas";342405
"431442 Picada Café";5742
"431445 Pinhal";2579
"431446 Pinhal da Serra";1941
"431447 Pinhal Grande";4350
"431449 Pinheirinho do Vale";4871
"431450 Pinheiro Machado";12271
"431454 Pinto Bandeira";3003
"431455 Pirapó";2304
"431460 Piratini";20663
"431470 Planalto";10084
"431475 Poço das Antas";2098
"431477 Pontão";3904
"431478 Ponte Preta";1547
"431480 Portão";37079
"431490 Porto Alegre";1483771
"431500 Porto Lucena";4678
"431505 Porto Mauá";2374
"431507 Porto Vera Cruz";1360
"431510 Porto Xavier";10246
"431513 Pouso Novo";1639
"431514 Presidente Lucena";2901
"431515 Progresso";6244
"431517 Protásio Alves";1947
"431520 Putinga";3919
"431530 Quaraí";22687
"431531 Quatro Irmãos";1849
"431532 Quevedos";2788
"431535 Quinze de Novembro";3796
"431540 Redentora";11549
"431545 Relvado";2090
"431550 Restinga Seca";15789
"431555 Rio dos Índios";2752
"431560 Rio Grande";211005
"431570 Rio Pardo";38275
"431575 Riozinho";4653
"431580 Roca Sales";11393
"431590 Rodeio Bonito";5867
"431595 Rolador";2323
"431600 Rolante";21349
"431610 Ronda Alta";10601
"431620 Rondinha";5130
"431630 Roque Gonzales";6847
"431640 Rosário do Sul";39422
"431642 Sagrada Família";2609
"431643 Saldanha Marinho";2650
"431645 Salto do Jacuí";12449
"431647 Salvador das Missões";2733
"431650 Salvador do Sul";7799
"431660 Sananduva";16270
"431710 Sant'Ana do Livramento";77027
"431670 Santa Bárbara do Sul";7994
"431673 Santa Cecília do Sul";1639
"431675 Santa Clara do Sul";6603
"431680 Santa Cruz do Sul";130416
"431697 Santa Margarida do Sul";2562
"431690 Santa Maria";282123
"431695 Santa Maria do Herval";6331
"431720 Santa Rosa";73254
"431725 Santa Tereza";1729
"431730 Santa Vitória do Palmar";29676
"431700 Santana da Boa Vista";8098
"431740 Santiago";49425
"431750 Santo Ângelo";77593
"431760 Santo Antônio da Patrulha";42894
"431770 Santo Antônio das Missões";10175
"431755 Santo Antônio do Palma";2128
"431775 Santo Antônio do Planalto";2019
"431780 Santo Augusto";13885
"431790 Santo Cristo";14257
"431795 Santo Expedito do Sul";2324
"431800 São Borja";60282
"431805 São Domingos do Sul";3074
"431810 São Francisco de Assis";18335
"431820 São Francisco de Paula";21710
"431830 São Gabriel";62105
"431840 São Jerônimo";24248
"431842 São João da Urtiga";4657
"431843 São João do Polêsine";2552
"431844 São Jorge";2824
"431845 São José das Missões";2537
"431846 São José do Herval";1971
"431848 São José do Hortêncio";4804
"431849 São José do Inhacorá";2073
"431850 São José do Norte";27568
"431860 São José do Ouro";6933
"431861 São José do Sul";2408
"431862 São José dos Ausentes";3527
"431870 São Leopoldo";236835
"431880 São Lourenço do Sul";43582
"431890 São Luiz Gonzaga";33468
"431900 São Marcos";21556
"431910 São Martinho";5426
"431912 São Martinho da Serra";3234
"431915 São Miguel das Missões";7673
"431920 São Nicolau";5265
"431930 São Paulo das Missões";5790
"431935 São Pedro da Serra";3801
"431936 São Pedro das Missões";2009
"431937 São Pedro do Butiá";2947
"431940 São Pedro do Sul";16198
"431950 São Sebastião do Caí";25685
"431960 São Sepé";23621
"431970 São Valentim";3299
"431971 São Valentim do Sul";2242
"431973 São Valério do Sul";2727
"431975 São Vendelino";2243
"431980 São Vicente do Sul";8721
"431990 Sapiranga";81734
"432000 Sapucaia do Sul";141075
"432010 Sarandi";24489
"432020 Seberi";10750
"432023 Sede Nova";2907
"432026 Segredo";7421
"432030 Selbach";5100
"432032 Senador Salgado Filho";2779
"432035 Sentinela do Sul";5581
"432040 Serafina Corrêa";17502
"432045 Sério";1962
"432050 Sertão";5415
"432055 Sertão Santana";6486
"432057 Sete de Setembro";1970
"432060 Severiano de Almeida";3657
"432065 Silveira Martins";2384
"432067 Sinimbu";10172
"432070 Sobradinho";14967
"432080 Soledade";31002
"432085 Tabaí";4719
"432090 Tapejara";24111
"432100 Tapera";10584
"432110 Tapes";17300
"432120 Taquara";57466
"432130 Taquari";26862
"432132 Taquaruçu do Sul";3072
"432135 Tavares";5481
"432140 Tenente Portela";13485
"432143 Terra de Areia";11204
"432145 Teutônia";33232
"432146 Tio Hugo";3030
"432147 Tiradentes do Sul";5704
"432149 Toropi";2806
"432150 Torres";38732
"432160 Tramandaí";51715
"432162 Travesseiro";2336
"432163 Três Arroios";2668
"432166 Três Cachoeiras";11053
"432170 Três Coroas";28220
"432180 Três de Maio";23906
"432183 Três Forquilhas";2697
"432185 Três Palmeiras";4271
"432190 Três Passos";23906
"432195 Trindade do Sul";5802
"432200 Triunfo";29538
"432210 Tucunduva";5678
"432215 Tunas";4569
"432218 Tupanci do Sul";1472
"432220 Tupanciretã";23948
"432225 Tupandi";4855
