IBGE6;Município;População_estimada;CRS;Macro;Região_saude;lat;lon
430003;Aceguá;4156;7;Sul;Região 22 - Pampa;-31.864;-54.165
430005;Água Santa;4345;6;Norte;Região 18 - Araucárias;-28.175;-52.035
430010;Agudo;16740;4;Centro-Oeste;Região 01 - Verdes Campos;-29.646;-53.259
430020;Ajuricaba;6707;17;Missioneira;Região 13 - Diversidade;-28.238;-53.773
430030;Alecrim;6169;14;Missioneira;Região 14 - Fronteira Noroeste;-27.661;-54.767
430040;Alegrete;71945;10;Centro-Oeste;Região 03 - Fronteira Oeste;-29.782;-55.796
430045;Alegria;3652;14;Missioneira;Região 14 - Fronteira Noroeste;-27.837;-54.057
430047;Almirante Tamandaré do Sul;1967;6;Norte;Região 17 - Planalto;-28.114;-52.914
430050;Alpestre;7065;2;Norte;Região 15 - Caminho das Águas;-27.249;-53.037
430055;Alto Alegre;1800;6;Norte;Região 19 - Botucaraí;-28.775;-52.991
430057;Alto Feliz;3061;5;Serra;Região 26 - Uva Vale;-29.39;-51.316
430060;Alvorada;185921;1;Metropolitana;Região 10 - Capital e Vale do Gravataí;-29.998;-51.078
430063;Amaral Ferrador;5268;3;Sul;Região 21 - Sul;-30.875;-52.251
430064;Ametista do Sul;7529;2;Norte;Região 15 - Caminho das Águas;-27.356;-53.192
430066;André da Rocha;1129;6;Norte;Região 18 - Araucárias;-28.632;-51.574
430070;Anta Gorda;5962;16;Vales;Região 29 - Vales e Montanhas;-28.971;-52.016
430080;Antônio Prado;14292;5;Serra;Região 26 - Uva Vale;-28.855;-51.284
430085;Arambaré;4109;1;Metropolitana;Região 09 - Carbonífera/Costa Doce;-30.909;-51.501
430087;Araricá;8293;1;Metropolitana;Região 07 - Vale dos Sinos;-29.617;-50.926
430090;Aratiba;6495;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.394;-52.304
430100;Arroio do Meio;21961;16;Vales;Região 29 - Vales e Montanhas;-29.399;-51.947
430107;Arroio do Padre;2638;3;Sul;Região 21 - Sul;-31.441;-52.433
430105;Arroio do Sal;11082;18;Metropolitana;Região 04 - Belas Praias;-29.593;-49.933
430120;Arroio do Tigre;12022;8;Vales;Região 27 - Jacuí Centro;-29.336;-53.086
430110;Arroio dos Ratos;14555;1;Metropolitana;Região 09 - Carbonífera/Costa Doce;-30.09;-51.734
430130;Arroio Grande;17440;3;Sul;Região 21 - Sul;-32.236;-53.082
430140;Arvorezinha;10328;6;Norte;Região 19 - Botucaraí;-28.873;-52.18
430150;Augusto Pestana;7146;17;Missioneira;Região 13 - Diversidade;-28.513;-53.99
430155;Áurea;3401;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.694;-52.054
