Número,Latitude,Longitude,Deteccao,Nome,Descrição,Coordenadas,Município
EA001,"-30,04748","-51,22599",Detectado,EBE Baronesa do Gravataí,Esgoto bruto,S 30.04748º W 051.22599º,Porto Alegre
EA002,"-30,04755","-51,23009",Detectado,Arroio Dilúvio,Água superficial,S 30.04755º W 051.23009º,Porto Alegre
EA003,"-30,03610","-51,23994",Detectado,EBE Ponta da Cadeia,Esgoto bruto,S 30.03610º W 051.23994º,Porto Alegre
EA004,"-29,97810","-51,13780",Detectado,EBAB nº10,Esgoto bruto,S 29.97810º W 051.13780º,Porto Alegre
EA005,"-30,16902","-51,21730",Detectado,ETE Serraria 1,Afluente bruto,,Porto Alegre
EA006,"-30,16794","-51,21659",Não detectado,ETE Serraria 2,Efluente tratado,,Porto Alegre
EA009,"-29,99139","-51,19472",Detectado,ETE S J Navegantes 1,Afluente bruto,S 29º59'29'' W 51º11'41'',Porto Alegre
EA010,"-29,99111","-51,19278",Detectado,ETE S J Navegantes 2,Efluente tratado,S 29º59'28'' W 51º11'34'',Porto Alegre
EA016,"-29,69414","-51,10191",Detectado,ETE Mundo Novo - COMUSA NH,Afluente bruto,"S 29º41'38.92"" W 51º6'6.87""",Novo Hamburgo
EA017,"-29,77362","-51,15647",Detectado,ETE Vicentina - SEMAE,Afluente bruto,"-29,7736246, -51,156467",São Leopoldo
EA018,"-29,79887","-51,18973",Não detectado,Rio dos Sinos/Passo da Carioca,Água superficial,"-29.79887, -51.18973",Sapucaia
EA019,"-29,76484","-51,16958",Não detectado,Rio dos Sinos/Arroio João Correia (CB SEMAE),Água superficial,"-29.76484, -51.16958",São Leopoldo
EA020,"-29,70578","-51,08838",Detectado,Rio dos Sinos/Arroio Pampa,Água superficial,"-29.70578, -51.08838",Novo Hamburgo
EA021,"-29,69215","-51,04585",Não detectado,Rio dos Sinos/captação Corsan,Água superficial,"-29.69215, -51.04585",Campo Bom
EA022,"-29,93943","-51,19658",Detectado,ETE Mato Grande,Afluente bruto,"-29.93943, -51.19658",Canoas
EA023,"-29,95667","-51,07696",,ETE Freeway,Afluente bruto,"-29.95667, -51.07696",Cachoeirinha
EA024,"-29,96027","-50,99833",,ETE Parque dos Anjos,Afluente bruto,"-29.96027, -50.99833",Gravataí
EA025,"-29,70092","-51,04924",Não detectado,Rio dos Sinos/ Arroio Schimidt,Água superficial,"-29.70092, -51.04924",Campo Bom
EA026,"-29,72846","-51,12728",Detectado,Rio dos Sinos/ Arroio Luiz Rau,Água superficial,"-29.72846, -51.12728",Novo Hamburgo
EA027,"-29,97819","-51,06916",,ETE Estocolmo,Afluente bruto,"-29.97819, -51.06916",Alvorada
EA028,"-29,86614","-51,17915",,Rio dos Sinos/ Arroio Sapucaia,Água superficial,"-29.86614, -51.17915",Canoas/ Esteio
EA029,"-29,75062","-51,08606",,Rio dos Sinos/ Arroio Peão,Água superficial,"-29.75062, -51.08606",São Leopoldo/ Novo Hamburgo
