Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.38,-.11,-.02,-.81,-.47,-.29,-.14,-.09,-.04,.05,.68
1881,-.08,-.18,.01,-.36,.12,-.07,-.94,-.47,-.20,.11,.12,-.05,-.07,.60
1882,-.11,-.22,-.01,-.32,-.04,.01,-1.42,-.28,-.16,-.04,-.03,.01,.04,.63
1883,-.17,-.28,-.06,-.34,-.15,-.01,-.17,-.56,-.26,-.16,-.14,-.04,.07,.50
1884,-.28,-.42,-.14,-.60,-.13,-.14,-1.29,-.64,-.46,-.12,-.15,-.19,-.02,.65
1885,-.33,-.43,-.24,-.66,-.12,-.27,-1.49,-.68,-.47,-.06,-.19,-.33,-.15,.83
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.57,-.50,-.41,-.20,-.17,-.20,-.20,.59
1887,-.36,-.43,-.28,-.53,-.29,-.28,-1.75,-.51,-.30,-.28,-.29,-.27,-.26,.32
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.29,-.43,-.25,.08,.14,-.31,-.22,.16
1889,-.10,-.17,-.04,-.29,.09,-.16,-.67,-.22,-.28,.03,.15,-.15,-.15,.45
1890,-.35,-.38,-.32,-.46,-.36,-.22,-1.13,-.56,-.27,-.26,-.46,-.18,-.27,.15
1891,-.22,-.25,-.19,-.42,-.07,-.21,-1.11,-.34,-.36,.01,-.16,-.18,-.23,-.15
1892,-.27,-.39,-.15,-.44,-.29,-.08,-1.12,-.66,-.18,-.32,-.26,.02,-.21,.09
1893,-.31,-.46,-.15,-.50,-.35,-.05,-.59,-.54,-.47,-.41,-.30,.07,-.20,-.04
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.89,-.33,-.19,-.47,-.18,-.15,-.35,-.37
1895,-.22,-.30,-.15,-.40,-.06,-.26,-.64,-.52,-.27,-.13,.01,-.20,-.32,-.58
1896,-.11,-.19,-.03,-.34,.10,-.15,-.82,-.37,-.23,.06,.15,-.16,-.13,.26
1897,-.11,-.16,-.05,-.35,.18,-.24,-.51,-.46,-.25,.14,.21,-.20,-.27,.41
1898,-.27,-.28,-.26,-.35,-.21,-.27,-1.13,-.24,-.24,-.17,-.26,-.28,-.21,.38
1899,-.17,-.20,-.14,-.24,-.11,-.19,-1.00,-.10,-.15,-.15,-.07,-.15,-.22,.59
1900,-.08,-.09,-.06,-.20,.18,-.30,-.52,-.16,-.16,.09,.26,-.29,-.29,.28
1901,-.15,-.12,-.17,-.16,-.03,-.30,-.35,-.11,-.16,-.06,.00,-.27,-.33,.26
1902,-.28,-.33,-.21,-.54,-.03,-.35,-1.50,-.52,-.32,-.01,-.04,-.28,-.43,-.04
1903,-.36,-.37,-.36,-.46,-.28,-.38,-.20,-.42,-.56,-.23,-.32,-.35,-.40,-.49
1904,-.46,-.48,-.45,-.51,-.45,-.44,-.20,-.60,-.55,-.42,-.47,-.37,-.49,-1.32
1905,-.25,-.28,-.22,-.40,-.06,-.35,-.02,-.23,-.62,-.09,-.03,-.32,-.37,-.34
1906,-.22,-.23,-.20,-.25,-.17,-.23,-.25,-.06,-.40,-.20,-.15,-.20,-.22,-.72
1907,-.38,-.47,-.29,-.58,-.29,-.29,-.54,-.72,-.52,-.30,-.29,-.21,-.36,-1.20
1908,-.42,-.44,-.39,-.47,-.42,-.36,-.19,-.54,-.52,-.40,-.44,-.28,-.48,.67
1909,-.48,-.49,-.47,-.53,-.46,-.44,-.70,-.62,-.44,-.43,-.50,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.41,-.47,-.38,-.57,-.23,-.50,-.47,-.48,-.33,-.45,.16
1911,-.44,-.42,-.45,-.41,-.42,-.48,-.23,-.41,-.48,-.42,-.42,-.43,-.52,.05
1912,-.36,-.46,-.25,-.59,-.19,-.36,-.47,-.78,-.51,-.27,-.09,-.36,-.29,-1.64
1913,-.33,-.41,-.25,-.44,-.25,-.35,-.44,-.32,-.52,-.37,-.13,-.28,-.40,-1.04
1914,-.14,-.18,-.10,-.24,-.05,-.18,-.31,-.15,-.29,-.10,.01,-.15,-.18,-.37
1915,-.13,-.13,-.12,-.23,.01,-.22,-.55,-.16,-.19,.01,.00,-.15,-.23,-1.99
1916,-.35,-.41,-.30,-.37,-.43,-.23,-.46,-.53,-.25,-.48,-.39,-.23,-.17,-1.05
1917,-.45,-.57,-.35,-.49,-.62,-.19,-.76,-.49,-.44,-.68,-.57,-.23,-.09,.06
1918,-.29,-.40,-.19,-.41,-.32,-.13,-.98,-.27,-.36,-.38,-.26,-.06,-.23,-.28
1919,-.27,-.35,-.19,-.43,-.19,-.22,-.67,-.55,-.31,-.22,-.15,-.14,-.32,.19
1920,-.27,-.30,-.23,-.25,-.24,-.32,.00,-.20,-.36,-.37,-.11,-.19,-.48,-1.15
1921,-.18,-.11,-.26,.02,-.24,-.31,.01,.17,-.09,-.28,-.19,-.23,-.38,-.84
1922,-.28,-.27,-.29,-.24,-.31,-.27,-.26,-.40,-.14,-.31,-.31,-.24,-.28,-.28
1923,-.26,-.22,-.30,-.15,-.29,-.34,.22,-.14,-.26,-.32,-.26,-.26,-.41,-.55
1924,-.27,-.18,-.35,-.12,-.25,-.43,.55,-.24,-.24,-.26,-.24,-.39,-.45,-.53
1925,-.22,-.13,-.29,-.04,-.23,-.37,-.04,.18,-.19,-.27,-.19,-.24,-.55,-.86
1926,-.11,.01,-.21,.02,.02,-.40,.58,.16,-.23,.00,.03,-.35,-.45,-.64
1927,-.22,-.13,-.29,-.13,-.15,-.38,.04,-.21,-.14,-.14,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.08,-.15,-.39,.67,-.17,-.24,-.14,-.15,-.28,-.48,-2.13
1929,-.36,-.33,-.38,-.38,-.27,-.45,.12,-.61,-.39,-.27,-.28,-.43,-.44,-1.08
1930,-.15,-.01,-.28,.04,-.10,-.42,.51,.05,-.11,-.09,-.11,-.33,-.46,-2.60
1931,-.09,.05,-.21,.01,.09,-.43,.57,-.03,-.14,.11,.06,-.42,-.40,-.42
1932,-.16,-.05,-.25,.03,-.15,-.35,.46,.20,-.22,-.18,-.13,-.21,-.53,-.99
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.15,-.46,-.13,-.27,-.27,-.22,-.48,-1.15
1934,-.12,.00,-.25,.17,-.24,-.26,.89,.31,-.14,-.25,-.23,-.15,-.38,-.57
1935,-.20,-.09,-.30,-.05,-.17,-.37,.33,-.04,-.17,-.15,-.19,-.30,-.41,-1.72
1936,-.14,-.03,-.26,-.03,-.12,-.30,.41,.11,-.26,-.04,-.20,-.26,-.33,-.04
1937,-.03,.12,-.17,.20,-.04,-.22,1.23,.04,-.03,.02,-.11,-.19,-.25,.36
1938,.00,.16,-.18,.39,-.22,-.10,1.52,.39,.02,-.17,-.27,-.06,-.11,-.87
1939,-.02,.09,-.12,.22,-.11,-.12,.56,.29,.08,-.10,-.13,-.04,-.18,-1.61
1940,.13,.17,.09,.11,.28,-.06,.99,-.01,-.10,.27,.29,.03,-.20,-.06
1941,.19,.23,.17,.01,.49,-.05,.02,-.09,.08,.55,.44,.04,-.15,-.47
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.12,.04,.06,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.43,.29,.10,-.10,-.06,.07,.00,1.13
1944,.21,.27,.15,.38,.19,.05,1.18,.47,.09,.12,.27,.19,-.09,-.96
1945,.10,.11,.09,.11,.18,-.03,.66,-.02,.03,.11,.25,.04,.00,-1.79
1946,-.07,.03,-.17,.06,-.04,-.24,-.03,-.04,.16,-.02,-.07,-.22,-.24,-.19
1947,-.02,.08,-.13,.16,-.06,-.16,1.08,-.13,.04,-.03,-.09,-.19,-.08,-.23
1948,-.10,-.01,-.19,.13,-.18,-.24,.13,.32,.00,-.22,-.13,-.19,-.19,-1.39
