IBGE;LONG;LAT
430003;-54,1647;-31,864
430005;-52,0346;-28,1751
430010;-53,2587;-29,6457
430020;-53,7728;-28,2377
430030;-54,7671;-27,6611
430040;-55,7959;-29,782
430045;-54,0574;-27,8373
430047;-52,9137;-28,1137
430050;-53,0374;-27,2488
430055;-52,9908;-28,7747
430057;-51,3158;-29,3901
430060;-51,0777;-29,9975
430063;-52,2513;-30,8751
430064;-53,1922;-27,3564
430066;-51,5737;-28,632
430070;-52,0158;-28,9709
430080;-51,2836;-28,8554
430085;-51,5013;-30,9093
430087;-50,9257;-29,6172
430090;-52,3038;-27,3944
430100;-51,9474;-29,3989
430107;-52,4333;-31,4406
430105;-49,933;-29,593
430120;-53,0864;-29,3359
430110;-51,7338;-30,09
430130;-53,0822;-32,2363
430140;-52,1795;-28,873
430150;-53,9895;-28,5134
430155;-52,0542;-27,6938
430160;-54,1071;-31,3305
430163;-50,2367;-30,2398
430165;-51,4975;-29,3809
430170;-52,3778;-27,6171
430175;-51,7377;-30,3905
430185;-53,7144;-27,1881
430187;-57,5571;-30,2111
430190;-51,3009;-30,2927
430192;-52,4141;-27,4088
430195;-53,0363;-27,9238
430180;-51,4602;-27,6802
430200;-52,5878;-29,0877
430205;-52,6022;-27,5086
430210;-51,5156;-29,1674
430215;-53,3128;-27,6661
430220;-54,1095;-27,6716
430222;-53,8137;-28,5774
430223;-53,3887;-28,8185
430225;-51,6773;-29,3501
430230;-50,4333;-28,6706
430235;-51,3555;-29,4945
430237;-53,8668;-27,5468
430240;-51,9438;-29,6074
430245;-52,4281;-29,3052
430250;-54,9098;-28,7307
430258;-53,7724;-28,3663
430260;-53,7443;-27,6192
430265;-51,5889;-29,5555
430270;-51,9615;-30,1161
430280;-53,4876;-30,5147
430290;-54,8277;-29,8803
430300;-52,8934;-30,0458
430310;-51,0937;-29,9506
430320;-51,6641;-27,7682
430330;-54,6379;-28,2911
430340;-53,4319;-27,2809
430350;-51,8146;-30,8507
430355;-52,2038;-28,5892
430360;-50,1438;-29,0482
430367;-51,0957;-28,7965
430370;-54,8453;-27,9917
430380;-52,6331;-27,7116
430390;-51,0589;-29,6757
430400;-53,8028;-27,6745
430410;-52,9989;-28,8921
430420;-52,7897;-29,6713
430430;-54,7528;-27,9513
430435;-53,6778;-31,561
430440;-50,8149;-29,358
430450;-52,6763;-31,3939
430460;-51,181;-29,9187
430461;-52,2324;-29,3235
430462;-51,3952;-28,126
430463;-50,02;-29,7615
430465;-54,5547;-28,9316
430466;-52,487;-31,7668
430468;-51,3218;-29,7019
430469;-51,986;-29,2695
430467;-50,5088;-30,1497
430471;-50,4358;-29,7786
430470;-52,7919;-28,2865
430480;-51,5038;-29,2983
430485;-51,9176;-27,7149
430490;-51,9832;-28,5599
430495;-51,6927;-28,2736
430500;-54,0124;-28,2542
430510;-51,1789;-29,1669
430511;-52,0021;-27,7628
430512;-52,8148;-31,8526
430513;-52,942;-29,6563
430515;-53,1659;-27,608
430517;-51,7531;-30,602
430520;-54,74;-28,1478
430530;-53,0673;-28,0585
430535;-51,625;-29,9568
430537;-52,0294;-27,9528
430540;-53,9457;-27,9174
430543;-53,4627;-33,6876
430544;-51,9785;-30,7574
430545;-50,2091;-30,1812
430550;-51,883;-28,3443
430558;-51,8686;-29,3925
430560;-52,9932;-28,5229
430570;-53,4889;-28,2053
430580;-52,9877;-27,7304
430583;-52,0946;-29,1793
430585;-52,7788;-28,1174
430587;-54,0737;-28,3845
430590;-53,7091;-27,7179
430593;-51,6849;-29,2727
430595;-51,6964;-28,9986
430597;-52,3003;-28,1213
430600;-54,1;-27,498
430605;-52,0494;-30,9993
430607;-53,2492;-27,4536
430610;-53,6052;-28,6424
430613;-52,6481;-27,6649
430620;-51,9916;-29,5083
430630;-51,8522;-28,3846
430632;-53,8651;-27,2654
430635;-55,0482;-28,2269
430637;-54,2136;-29,702
430640;-51,0876;-29,5842
430642;-53,5309;-27,6575
430645;-51,8351;-28,9752
430650;-52,1039;-30,7086
430660;-54,6741;-30,9813
430655;-49,8495;-29,3702
430670;-53,3623;-29,6249
430673;-54,3583;-27,5092
430675;-51,9849;-29,099
430676;-51,3104;-29,9993
430680;-51,873;-29,2399
430690;-52,522;-30,5437
430692;-52,9119;-27,7086
430695;-52,7351;-27,5289
430693;-54,2714;-28,3628
430697;-52,2997;-27,8492
430700;-52,2759;-27,6334
430705;-52,5722;-28,4972
430720;-52,5701;-27,3933
430730;-53,5096;-27,5494
