Código UF,Unidade da Federação,UF,Populacao, Regiao
11,Rondônia,RO,1805788,Norte
12,Acre,AC,829619,Norte
13,Amazonas,AM,4063614,Norte
14,Roraima,RR,522636,Norte
15,Pará,PA,8366628,Norte
16,Amapá,AP,797722,Norte
17,Tocantins,TO,1550194,Norte
21,Maranhão,MA,7000229,Nordeste
22,Piauí,PI,3219257,Nordeste
23,Ceará,CE,9020460,Nordeste
24,Rio Grande do Norte,RN,3507003,Nordeste
25,Paraíba,PB,4025558,Nordeste
26,Pernambuco,PE,9473266,Nordeste
27,Alagoas,AL,3375823,Nordeste
28,Sergipe,SE,2288116,Nordeste
29,Bahia,BA,15344447,Nordeste
31,Minas Gerais,MG,21119536,Sudeste
32,Espírito Santo,ES,4016356,Sudeste
33,Rio de Janeiro,RJ,16718956,Sudeste
35,São Paulo,SP,45094866,Sudeste
41,Paraná,PR,11320892,Sul
42,Santa Catarina,SC,7001161,Sul
43,Rio Grande do Sul,RS,11322895,Sul
50,Mato Grosso do Sul,MS,2713147,Centro-Oeste
51,Mato Grosso,MT,3344544,Centro-Oeste
52,Goiás,GO,6778772,Centro-Oeste
53,Distrito Federal,DF,3039444,Centro-Oeste

