UF_infec;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF
RO;0;30;26;2;2;1;0;1;1;4;3;1;0;1;0;1;16;34;6;309;293;55;32;36;108;30;19
AC;22;0;24;0;9;0;1;3;8;11;9;3;30;10;9;14;22;11;21;63;19;5;10;6;4;45;12
AM;17;267;0;37;99;0;0;1;1;5;0;0;0;0;0;1;11;7;10;117;25;11;13;1;4;8;23
RR;1;1;9;0;3;0;0;2;0;2;0;0;0;0;0;1;0;0;1;19;7;4;10;1;2;1;6
PA;3;0;23;2;0;124;192;49;17;12;2;1;5;0;0;1;51;16;13;399;87;46;32;5;111;180;126
AP;1;0;0;0;37;0;0;0;1;5;1;0;1;0;0;1;2;0;0;27;8;3;2;0;0;0;7
TO;0;0;0;0;26;1;0;37;1;0;1;0;1;1;0;4;26;1;7;238;45;11;19;1;7;274;282
MA;1;1;0;5;39;7;67;0;538;28;1;0;4;0;1;1;25;2;6;433;53;25;31;7;17;59;440
PI;2;0;0;0;4;0;6;49;0;56;0;0;6;1;1;16;5;2;2;324;20;1;9;2;0;15;363
CE;2;5;5;2;4;5;5;7;26;0;48;18;44;5;0;9;28;4;18;749;48;34;43;2;2;18;190
RN;0;1;1;0;0;0;1;1;0;245;0;36;10;0;0;0;13;3;5;342;23;14;21;1;3;19;84
PB;0;0;0;1;1;0;2;1;1;68;47;0;235;3;1;4;5;6;9;528;9;14;4;0;3;11;108
PE;1;0;0;0;3;1;2;2;18;60;11;95;0;29;8;169;46;11;11;1529;62;42;85;3;1;9;111
AL;1;0;0;0;0;0;2;0;0;3;0;3;37;0;23;69;13;1;3;333;23;8;18;2;5;5;20
SE;0;0;0;0;0;0;0;1;0;5;1;1;5;16;0;31;10;3;8;259;15;10;9;2;0;0;18
BA;1;0;0;0;2;0;18;0;4;26;2;3;82;8;150;0;282;258;27;2964;147;78;113;9;8;114;689
MG;5;1;0;0;5;3;16;6;3;5;9;2;5;1;0;98;0;542;225;4003;206;112;77;18;26;299;564
ES;5;0;0;0;0;0;2;0;1;3;4;0;7;0;1;41;604;0;185;215;34;23;19;3;1;9;33
RJ;7;1;2;3;5;2;2;6;1;26;12;10;4;5;1;28;1899;501;0;3100;395;257;443;41;9;35;297
SP;8;0;0;0;7;0;11;8;16;23;8;16;23;13;6;88;1470;62;158;0;1355;430;181;197;66;125;90
PR;6;0;0;0;1;0;4;1;0;1;3;0;3;2;0;4;22;2;6;911;0;205;83;67;41;15;7
SC;1;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;2;2;1;103;123;0;20;13;5;3;3
RS;0;1;0;0;0;0;3;0;0;2;1;0;0;1;0;1;4;1;1;20;28;19;0;4;6;4;2
MS;5;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;34;1;4;2054;670;123;112;0;50;83;17
MT;87;2;6;0;16;0;13;0;1;1;1;0;3;1;0;1;67;11;5;1040;1017;205;216;217;0;504;84
GO;7;2;0;1;10;0;105;4;7;7;1;0;5;0;1;21;175;8;11;773;99;59;61;48;368;0;10296
DF;0;0;0;0;3;0;10;7;8;12;3;3;1;2;1;18;42;6;8;82;22;13;11;4;6;653;0
