Número,Latitude,Longitude,Nome,Descrição,Município
EA001,-30.04748,-51.22599,EBE Baronesa do Gravataí,Esgoto bruto,Porto Alegre
EA002,-30.04755,-51.23009,Arroio Dilúvio,Água superficial,Porto Alegre
EA003,-30.0361,-51.23994,EBE Ponta da Cadeia,Esgoto bruto,Porto Alegre
EA004,-29.9781,-51.1378,EBAB nº10,Esgoto bruto,Porto Alegre
EA005,-30.16902,-51.2173,ETE Serraria 1,Afluente bruto,Porto Alegre
EA006,-30.16794,-51.21659,ETE Serraria 2,Efluente tratado,Porto Alegre
EA009,-29.99139,-51.19472,ETE S J Navegantes 1,Afluente bruto,Porto Alegre
EA010,-29.99111,-51.19278,ETE S J Navegantes 2,Efluente tratado,Porto Alegre
EA016,-29.69414,-51.10191,ETE Mundo Novo - COMUSA NH,Afluente bruto,Novo Hamburgo
EA017,-29.77362,-51.15647,ETE Vicentina - SEMAE,Afluente bruto,São Leopoldo
EA018,-29.79887,-51.18973,Rio dos Sinos/Passo da Carioca,Água superficial,Sapucaia
EA019,-29.76484,-51.16958,Rio dos Sinos/Arroio João Correia (CB SEMAE),Água superficial,São Leopoldo
EA020,-29.70578,-51.08838,Rio dos Sinos/Arroio Pampa,Água superficial,Novo Hamburgo
EA021,-29.69215,-51.04585,Rio dos Sinos/captação Corsan,Água superficial,Campo Bom
EA022,-29.93943,-51.19658,ETE Mato Grande,Afluente bruto,Canoas
EA023,-29.95667,-51.07696,ETE Freeway,Afluente bruto,Cachoeirinha
EA024,-29.96027,-50.99833,ETE Parque dos Anjos,Afluente bruto,Gravataí
EA025,-29.70092,-51.04924,Rio dos Sinos/ Arroio Schimidt,Água superficial,Campo Bom
EA026,-29.72846,-51.12728,Rio dos Sinos/ Arroio Luiz Rau,Água superficial,Novo Hamburgo
EA027,-29.97819,-51.06916,ETE Estocolmo,Afluente bruto,Alvorada
EA028,-29.86614,-51.17915,Rio dos Sinos/ Arroio Sapucaia,Água superficial,Canoas/ Esteio
EA029,-29.75062,-51.08606,Rio dos Sinos/ Arroio Peão,Água superficial,São Leopoldo/ Novo Hamburgo
