UF;IBGE7;IBGE6;NOME DO MUNICÍPIO;POPULAÇÃO
RO;1100015;110001;Alta Floresta D'Oeste;21558
RO;1100023;110002;Ariquemes;100896
RO;1100031;110003;Cabixi;5107
RO;1100049;110004;Cacoal;92202
RO;1100056;110005;Cerejeiras;15237
RO;1100064;110006;Colorado do Oeste;15747
RO;1100072;110007;Corumbiara;7503
RO;1100080;110008;Costa Marques;12633
RO;1100098;110009;Espigão D'Oeste;29722
RO;1100106;110010;Guajará-Mirim;39396
RO;1100114;110011;Jaru;52090
RO;1100122;110012;Ji-Paraná;136825
RO;1100130;110013;Machadinho D'Oeste;30626
RO;1100148;110014;Nova Brasilândia D'Oeste;17355
RO;1100155;110015;Ouro Preto do Oeste;36753
RO;1100189;110018;Pimenta Bueno;37464
RO;1100205;110020;Porto Velho;461748
RO;1100254;110025;Presidente Médici;19316
RO;1100262;110026;Rio Crespo;3476
RO;1100288;110028;Rolim de Moura;57180
RO;1100296;110029;Santa Luzia D'Oeste;7394
RO;1100304;110030;Vilhena;95599
RO;1100320;110032;São Miguel do Guaporé;21612
RO;1100338;110033;Nova Mamoré;25452
RO;1100346;110034;Alvorada D'Oeste;13092
RO;1100379;110037;Alto Alegre dos Parecis;13023
RO;1100403;110040;Alto Paraíso;17140
RO;1100452;110045;Buritis;28178
RO;1100502;110050;Novo Horizonte do Oeste;7653
RO;1100601;110060;Cacaulândia;4157
RO;1100700;110070;Campo Novo de Rondônia;8840
RO;1100809;110080;Candeias do Jamari;22564
RO;1100908;110090;Castanheiras;3269
RO;1100924;110092;Chupinguaia;9351
RO;1100940;110094;Cujubim;14338
RO;1101005;110100;Governador Jorge Teixeira;8012
RO;1101104;110110;Itapuã do Oeste;9465
RO;1101203;110120;Ministro Andreazza;6440
RO;1101302;110130;Mirante da Serra;9200
RO;1101401;110140;Monte Negro;11966
RO;1101435;110143;Nova União;6194
RO;1101450;110145;Parecis;3953
RO;1101468;110146;Pimenteiras do Oeste;2180
RO;1101476;110147;Primavera de Rondônia;3071
RO;1101484;110148;São Felipe D'Oeste;5259
RO;1101492;110149;São Francisco do Guaporé;16302
RO;1101500;110150;Seringueiras;11183
RO;1101559;110155;Teixeirópolis;4284
RO;1101609;110160;Theobroma;9253
RO;1101708;110170;Urupá;10828
RO;1101757;110175;Vale do Anari;7806
RO;1101807;110180;Vale do Paraíso;6487
AC;1200013;120001;Acrelândia;12707
AC;1200054;120005;Assis Brasil;8157
AC;1200104;120010;Brasiléia;25786
AC;1200138;120013;Bujari;11962
AC;1200179;120017;Capixaba;9737
AC;1200203;120020;Cruzeiro do Sul;94345
AC;1200252;120025;Epitaciolândia;18697
AC;1200302;120030;Feijó;35035
AC;1200328;120032;Jordão;11105
AC;1200336;120033;Mâncio Lima;19172
AC;1200344;120034;Manoel Urbano;12246
AC;1200351;120035;Marechal Thaumaturgo;16825
AC;1200385;120038;Plácido de Castro;16313
AC;1200393;120039;Porto Walter;10706
AC;1200401;120040;Rio Branco;364368
AC;1200427;120042;Rodrigues Alves;16072
AC;1200435;120043;Santa Rosa do Purus;7672
AC;1200450;120045;Senador Guiomard;21658
AC;1200500;120050;Sena Madureira;39746
AC;1200609;120060;Tarauacá;43072
AC;1200708;120070;Xapuri;18181
AC;1200807;120080;Porto Acre;16218
AM;1300029;130002;Alvarães;15916
AM;1300060;130006;Amaturá;10814
AM;1300086;130008;Anamã;9927
AM;1300102;130010;Anori;17052
AM;1300144;130014;Apuí;21403
AM;1300201;130020;Atalaia do Norte;15440
AM;1300300;130030;Autazes;41672
AM;1300409;130040;Barcelos;18399
AM;1300508;130050;Barreirinha;30990
AM;1300607;130060;Benjamin Constant;37436
AM;1300631;130063;Beruri;20807
AM;1300680;130068;Boa Vista do Ramos;24018
AM;1300706;130070;Boca do Acre;35964
AM;1300805;130080;Borba;33209
AM;1300839;130083;Caapiranga;13851
AM;1300904;130090;Canutama;17362
AM;1301001;130100;Carauari;29176
AM;1301100;130110;Careiro;30819
AM;1301159;130115;Careiro da Várzea;19615
AM;1301209;130120;Coari;71130
AM;1301308;130130;Codajás;24071
AM;1301407;130140;Eirunepé;33173
AM;1301506;130150;Envira;17034
AM;1301605;130160;Fonte Boa;27692
AM;1301654;130165;Guajará;13809
AM;1301704;130170;Humaitá;59504
AM;1301803;130180;Ipixuna;24387
AM;1301852;130185;Iranduba;59767
AM;1301902;130190;Itacoatiara;103.826(31)
AM;1301951;130195;Itamarati;10783
AM;1302009;130200;Itapiranga;10183
AM;1302108;130210;Japurá;9281
AM;1302207;130220;Juruá;10501
AM;1302306;130230;Jutaí;25.048(13)
AM;1302405;130240;Lábrea;47.003(14)
AM;1302504;130250;Manacapuru;102.736(15)
AM;1302553;130255;Manaquiri;17333
AM;1302603;130260;Manaus;2054731
AM;1302702;130270;Manicoré;59225
AM;1302801;130280;Maraã;15706
AM;1302900;130290;Maués;61167
AM;1303007;130300;Nhamundá;20249
AM;1303106;130310;Nova Olinda do Norte;27088
AM;1303205;130320;Novo Airão;15.819(16)
AM;1303304;130330;Novo Aripuanã;24251
AM;1303403;130340;Parintins;96.251(17)
AM;1303502;130350;Pauini;20.351(18)
AM;1303536;130353;Presidente Figueiredo;30762
AM;1303569;130356;Rio Preto da Eva;24807
AM;1303601;130360;Santa Isabel do Rio Negro;14.305(19)
AM;1303700;130370;Santo Antônio do Içá;28.233(32)
AM;1303809;130380;São Gabriel da Cachoeira;51921
AM;1303908;130390;São Paulo de Olivença;32727
AM;1303957;130395;São Sebastião do Uatumã;11697
AM;1304005;130400;Silves;11572
AM;1304062;130406;Tabatinga;66.837(20)
AM;1304104;130410;Tapauá;21914
AM;1304203;130420;Tefé;74142
AM;1304237;130423;Tonantins;20180
AM;1304260;130426;Uarini;14597
AM;1304302;130430;Urucará;18.582(21)
AM;1304401;130440;Urucurituba;24.017(22)
RR;1400027;140002;Amajari;16994
RR;1400050;140005;Alto Alegre;23582
RR;1400100;140010;Boa Vista;408157
RR;1400159;140015;Bonfim;16169
RR;1400175;140017;Cantá;18030
RR;1400209;140020;Caracaraí;20780
RR;1400233;140023;Caroebe;10555
RR;1400282;140028;Iracema;11000
RR;1400308;140030;Mucajaí;17058
RR;1400407;140040;Normandia;15264
RR;1400456;140045;Pacaraima;19317
RR;1400472;140047;Rorainópolis;29932
RR;1400506;140050;São João da Baliza;8011
RR;1400605;140060;São Luiz;6192
RR;1400704;140070;Uiramutã;13764
PA;1500107;150010;Abaetetuba;158042
PA;1500131;150013;Abel Figueiredo;6119
PA;1500206;150020;Acará;63268
PA;1500305;150030;Afuá;38020
PA;1500347;150034;Água Azul do Norte;16672
PA;1500404;150040;Alenquer;86096
PA;1500503;150050;Almeirim;38843
PA;1500602;150060;Altamira;135067
PA;1500701;150070;Anajás;34065
PA;1500800;150080;Ananindeua;515745
PA;1500859;150085;Anapu;33566
PA;1500909;150090;Augusto Corrêa;43691
PA;1500958;150095;Aurora do Pará;32772
PA;1501006;150100;Aveiro;18343
PA;1501105;150110;Bagre;35265
PA;1501204;150120;Baião;51844
PA;1501253;150125;Bannach;3730
PA;1501303;150130;Barcarena;126733
PA;1501402;150140;Belém;1367336
