IBGE6,Municipio,população
110001,Alta Floresta D'Oeste,22516
110037,Alto Alegre dos Parecis,13268
110040,Alto Paraíso,22258
110034,Alvorada D'Oeste,13807
110002,Ariquemes,111148
110045,Buritis,41043
110003,Cabixi,5067
110060,Cacaulândia,6307
110004,Cacoal,86416
110070,Campo Novo de Rondônia,14391
110080,Candeias do Jamari,28068
110090,Castanheiras,2923
110005,Cerejeiras,16088
110092,Chupinguaia,11755
110006,Colorado do Oeste,15213
110007,Corumbiara,7052
110008,Costa Marques,19255
110094,Cujubim,27131
110009,Espigão D'Oeste,33009
110100,Governador Jorge Teixeira,7130
110010,Guajará-Mirim,46930
110110,Itapuã do Oeste,10819
110011,Jaru,51469
110012,Ji-Paraná,131026
110013,Machadinho D'Oeste,41724
110120,Ministro Andreazza,9461
110130,Mirante da Serra,10691
110140,Monte Negro,16158
110014,Nova Brasilândia D'Oeste,20504
110033,Nova Mamoré,32184
110143,Nova União,6822
110050,Novo Horizonte do Oeste,8125
110015,Ouro Preto do Oeste,35445
110145,Parecis,6319
110018,Pimenta Bueno,37098
110146,Pimenteiras do Oeste,2127
110020,Porto Velho,548952
110025,Presidente Médici,18165
110147,Primavera de Rondônia,2697
110026,Rio Crespo,3843
110028,Rolim de Moura,55748
110029,Santa Luzia D'Oeste,5942
110148,São Felipe D'Oeste,4962
110149,São Francisco do Guaporé,21088
110032,São Miguel do Guaporé,23147
110150,Seringueiras,11846
110155,Teixeirópolis,4160
110160,Theobroma,10348
110170,Urupá,11081
110175,Vale do Anari,11545
110180,Vale do Paraíso,6490
110030,Vilhena,104517
120001,Acrelândia,15721
120005,Assis Brasil,7649
120010,Brasiléia,27123
120013,Bujari,10572
120017,Capixaba,12280
120020,Cruzeiro do Sul,89760
120025,Epitaciolândia,18979
120030,Feijó,34986
120032,Jordão,8628
120033,Mâncio Lima,19643
120034,Manoel Urbano,9701
120035,Marechal Thaumaturgo,19727
120038,Plácido de Castro,20147
120080,Porto Acre,19141
120039,Porto Walter,12497
120040,Rio Branco,419452
120042,Rodrigues Alves,19767
120043,Santa Rosa do Purus,6893
120050,Sena Madureira,47168
120045,Senador Guiomard,23446
120060,Tarauacá,43730
120070,Xapuri,19866
130002,Alvarães,16396
130006,Amaturá,11934
130008,Anamã,14292
130010,Anori,21937
130014,Apuí,22739
130020,Atalaia do Norte,20868
130030,Autazes,41005
130040,Barcelos,27772
130050,Barreirinha,32919
130060,Benjamin Constant,44873
130063,Beruri,20503
130068,Boa Vista do Ramos,20040
130070,Boca do Acre,34958
130080,Borba,42328
130083,Caapiranga,13482
130090,Canutama,15981
130100,Carauari,28719
130110,Careiro,38820
130115,Careiro da Várzea,31459
130120,Coari,86713
130130,Codajás,29691
130140,Eirunepé,36121
130150,Envira,20748
130160,Fonte Boa,16409
130165,Guajará,17193
130170,Humaitá,57195
130180,Ipixuna,31172
130185,Iranduba,49718
130190,Itacoatiara,104046
130195,Itamarati,7777
130200,Itapiranga,9312
130210,Japurá,1755
130220,Juruá,15495
130230,Jutaí,13462
130240,Lábrea,47685
130250,Manacapuru,99613
130255,Manaquiri,33981
130260,Manaus,2255903
130270,Manicoré,57405
130280,Maraã,18298
130290,Maués,66159
130300,Nhamundá,21710
130310,Nova Olinda do Norte,38665
130320,Novo Airão,20395
130330,Novo Aripuanã,26443
130340,Parintins,116439
130350,Pauini,19616
130353,Presidente Figueiredo,38095
130356,Rio Preto da Eva,34856
130360,Santa Isabel do Rio Negro,26566
130370,Santo Antônio do Içá,20889
130380,São Gabriel da Cachoeira,47031
130390,São Paulo de Olivença,40837
130395,São Sebastião do Uatumã,14678
130400,Silves,9289
130406,Tabatinga,68502
130410,Tapauá,16876
130420,Tefé,59250
130423,Tonantins,19038
130426,Uarini,13839
130430,Urucará,16007
130440,Urucurituba,24098
140005,Alto Alegre,15249
140002,Amajari,13561
140010,Boa Vista,436591
140015,Bonfim,12701
140017,Cantá,19257
140020,Caracaraí,22635
140023,Caroebe,10595
140028,Iracema,12637
140030,Mucajaí,18482
140040,Normandia,11772
140045,Pacaraima,20108
140047,Rorainópolis,31387
140050,São João da Baliza,8492
140060,São Luiz,8232
140070,Uiramutã,11014
150010,Abaetetuba,160439
150013,Abel Figueiredo,7536
150020,Acará,55744
150030,Afuá,39910
150034,Água Azul do Norte,27797
150040,Alenquer,57390
150050,Almeirim,34044
150060,Altamira,117320
150070,Anajás,30091
150080,Ananindeua,540410
150085,Anapu,29312
150090,Augusto Corrêa,46937
150095,Aurora do Pará,32200
150100,Aveiro,16421
150110,Bagre,31967
150120,Baião,49454
150125,Bannach,3239
150130,Barcarena,129333
150140,Belém,1506420
150145,Belterra,17944
150150,Benevides,64780
150157,Bom Jesus do Tocantins,17254
150160,Bonito,16769
150170,Bragança,130122
150172,Brasil Novo,14883
150175,Brejo Grande do Araguaia,7357
150178,Breu Branco,68597
150180,Breves,104280
150190,Bujaru,29717
150200,Cachoeira do Arari,24355
150195,Cachoeira do Piriá,35307
150210,Cametá,140814
150215,Canaã dos Carajás,39103
150220,Capanema,69828
150230,Capitão Poço,54545
150240,Castanhal,205667
150250,Chaves,24175
150260,Colares,12175
150270,Conceição do Araguaia,48115
150275,Concórdia do Pará,34236
150276,Cumaru do Norte,14044
150277,Curionópolis,17764
150280,Curralinho,35530
150285,Curuá,14776
150290,Curuçá,41093
150293,Dom Eliseu,61206
150295,Eldorado do Carajás,34069
150300,Faro,6949
150304,Floresta do Araguaia,20742
150307,Garrafão do Norte,26155
150309,Goianésia do Pará,41678
150310,Gurupá,34127
150320,Igarapé-Açu,39234
150330,Igarapé-Miri,63367
150340,Inhangapi,12009
150345,Ipixuna do Pará,67170
150350,Irituia,32639
150360,Itaituba,101541
150370,Itupiranga,53439
150375,Jacareacanga,6952
150380,Jacundá,60517
150390,Juruti,59961
150400,Limoeiro do Ajuru,29623
150405,Mãe do Rio,30389
150410,Magalhães Barata,8598
150420,Marabá,287664
150430,Maracanã,29559
150440,Marapanim,28563
150442,Marituba,135812
150445,Medicilândia,32347
150450,Melgaço,28121
150460,Mocajuba,31917
150470,Moju,84251
150475,Mojuí dos Campos,16282
150480,Monte Alegre,58289
150490,Muaná,41454
150495,Nova Esperança do Piriá,21519
150497,Nova Ipixuna,17027
150500,Nova Timboteua,15646
150503,Novo Progresso,25769
150506,Novo Repartimento,78488
150510,Óbidos,52473
150520,Oeiras do Pará,33182
150530,Oriximiná,74921
150540,Ourém,18079
150543,Ourilândia do Norte,33831
150548,Pacajá,49110
150549,Palestina do Pará,7575
150550,Paragominas,115838
150553,Parauapebas,218787
150555,Pau D'Arco,5339
150560,Peixe-Boi,8084
150563,Piçarra,12976
150565,Placas,32325
150570,Ponta de Pedras,32007
150580,Portel,63831
150590,Porto de Moz,42456
150600,Prainha,29827
150610,Primavera,10889
150611,Quatipuru,13794
150613,Redenção,86326
150616,Rio Maria,18208
150618,Rondon do Pará,53242
150619,Rurópolis,52473
150620,Salinópolis,41164
150630,Salvaterra,24392
150635,Santa Bárbara do Pará,21811
150640,Santa Cruz do Arari,10496
150650,Santa Izabel do Pará,72856
150655,Santa Luzia do Pará,19839
150658,Santa Maria das Barreiras,22244
150660,Santa Maria do Pará,25127
150670,Santana do Araguaia,75995
150680,Santarém,308339
150690,Santarém Novo,6796
150700,Santo Antônio do Tauá,32346
150710,São Caetano de Odivelas,18207
150715,São Domingos do Araguaia,25945
150720,São Domingos do Capim,32285
150730,São Félix do Xingu,135732
150740,São Francisco do Pará,15978
150745,São Geraldo do Araguaia,24566
150746,São João da Ponta,6294
150747,São João de Pirabas,23440
150750,São João do Araguaia,14105
150760,São Miguel do Guamá,60268
150770,São Sebastião da Boa Vista,27302
150775,Sapucaia,6088
150780,Senador José Porfírio,11305
150790,Soure,25752
150795,Tailândia,111554
150796,Terra Alta,11971
