UF,COD. UF,COD. MUNIC,IBGE7,IBGE6,NOME DO MUNICÍPIO,POPULAÇÃO
RS,43,00034,4300034,430003,Aceguá,4156
RS,43,00059,4300059,430005,Água Santa,4345
RS,43,00109,4300109,430010,Agudo,16740
RS,43,00208,4300208,430020,Ajuricaba,6707
RS,43,00307,4300307,430030,Alecrim,6169
RS,43,00406,4300406,430040,Alegrete,71945
RS,43,00455,4300455,430045,Alegria,3652
RS,43,00471,4300471,430047,Almirante Tamandaré do Sul,1967
RS,43,00505,4300505,430050,Alpestre,7065
RS,43,00554,4300554,430055,Alto Alegre,1800
RS,43,00570,4300570,430057,Alto Feliz,3061
RS,43,00604,4300604,430060,Alvorada,185921
RS,43,00638,4300638,430063,Amaral Ferrador,5268
RS,43,00646,4300646,430064,Ametista do Sul,7529
RS,43,00661,4300661,430066,André da Rocha,1129
RS,43,00703,4300703,430070,Anta Gorda,5962
RS,43,00802,4300802,430080,Antônio Prado,14292
RS,43,00851,4300851,430085,Arambaré,4109
RS,43,00877,4300877,430087,Araricá,8293
RS,43,00901,4300901,430090,Aratiba,6495
RS,43,01008,4301008,430100,Arroio do Meio,21961
RS,43,01057,4301057,430105,Arroio do Sal,11082
RS,43,01073,4301073,430107,Arroio do Padre,2638
RS,43,01107,4301107,430110,Arroio dos Ratos,14555
RS,43,01206,4301206,430120,Arroio do Tigre,12022
RS,43,01305,4301305,430130,Arroio Grande,17440
RS,43,01404,4301404,430140,Arvorezinha,10328
RS,43,01503,4301503,430150,Augusto Pestana,7146
RS,43,01552,4301552,430155,Áurea,3401
RS,43,01602,4301602,430160,Bagé,113173
RS,43,01636,4301636,430163,Balneário Pinhal,14769
RS,43,01651,4301651,430165,Barão,6476
RS,43,01701,4301701,430170,Barão de Cotegipe,7150
RS,43,01750,4301750,430175,Barão do Triunfo,5893
RS,43,01800,4301800,430180,Barracão,5115
RS,43,01859,4301859,430185,Barra do Guarita,3161
RS,43,01875,4301875,430187,Barra do Quaraí,4053
RS,43,01909,4301909,430190,Barra do Ribeiro,11925
RS,43,01925,4301925,430192,Barra do Rio Azul,1695
RS,43,01958,4301958,430195,Barra Funda,2497
RS,43,02006,4302006,430200,Barros Cassal,9299
RS,43,02055,4302055,430205,Benjamin Constant do Sul,1981
RS,43,02105,4302105,430210,Bento Gonçalves,129430
RS,43,02154,4302154,430215,Boa Vista das Missões,1899
RS,43,02204,4302204,430220,Boa Vista do Buricá,7030
RS,43,02220,4302220,430222,Boa Vista do Cadeado,2222
RS,43,02238,4302238,430223,Boa Vista do Incra,2267
RS,43,02253,4302253,430225,Boa Vista do Sul,2746
RS,43,02303,4302303,430230,Bom Jesus,10725
RS,43,02352,4302352,430235,Bom Princípio,15619
RS,43,02378,4302378,430237,Bom Progresso,2106
RS,43,02402,4302402,430240,Bom Retiro do Sul,12245
RS,43,02451,4302451,430245,Boqueirão do Leão,6231
RS,43,02501,4302501,430250,Bossoroca,5886
RS,43,02584,4302584,430258,Bozano,2135
RS,43,02600,4302600,430260,Braga,3264
RS,43,02659,4302659,430265,Brochier,5895
RS,43,02709,4302709,430270,Butiá,18711
RS,43,02808,4302808,430280,Caçapava do Sul,32447
RS,43,02907,4302907,430290,Cacequi,11166
RS,43,03004,4303004,430300,Cachoeira do Sul,79778
RS,43,03103,4303103,430310,Cachoeirinha,134545
RS,43,03202,4303202,430320,Cacique Doble,4602
RS,43,03301,4303301,430330,Caibaté,4707
RS,43,03400,4303400,430340,Caiçara,4810
RS,43,03509,4303509,430350,Camaquã,61598
RS,43,03558,4303558,430355,Camargo,3204
RS,43,03608,4303608,430360,Cambará do Sul,6263
RS,43,03673,4303673,430367,Campestre da Serra,3243
RS,43,03707,4303707,430370,Campina das Missões,5882
RS,43,03806,4303806,430380,Campinas do Sul,5266
RS,43,03905,4303905,430390,Campo Bom,65380
RS,43,04002,4304002,430400,Campo Novo,4992
RS,43,04101,4304101,430410,Campos Borges,3606
RS,43,04200,4304200,430420,Candelária,28249
RS,43,04309,4304309,430430,Cândido Godói,6291
RS,43,04358,4304358,430435,Candiota,10418
RS,43,04408,4304408,430440,Canela,53348
RS,43,04507,4304507,430450,Canguçu,48922
RS,43,04606,4304606,430460,Canoas,339133
RS,43,04614,4304614,430461,Canudos do Vale,1660
RS,43,04622,4304622,430462,Capão Bonito do Sul,1724
RS,43,04630,4304630,430463,Capão da Canoa,62040
RS,43,04655,4304655,430465,Capão do Cipó,3122
RS,43,04663,4304663,430466,Capão do Leão,27071
RS,43,04671,4304671,430467,Capivari do Sul,3986
RS,43,04689,4304689,430468,Capela de Santana,10970
RS,43,04697,4304697,430469,Capitão,2888
RS,43,04705,4304705,430470,Carazinho,60983
RS,43,04713,4304713,430471,Caraá,8957
RS,43,04804,4304804,430480,Carlos Barbosa,29834
RS,43,04853,4304853,430485,Carlos Gomes,1355
RS,43,04903,4304903,430490,Casca,9464
RS,43,04952,4304952,430495,Caseiros,3000
RS,43,05009,4305009,430500,Catuípe,8679
RS,43,05108,4305108,430510,Caxias do Sul,503068
RS,43,05116,4305116,430511,Centenário,2725
RS,43,05124,4305124,430512,Cerrito,5847
RS,43,05132,4305132,430513,Cerro Branco,3803
RS,43,05157,4305157,430515,Cerro Grande,2318
RS,43,05173,4305173,430517,Cerro Grande do Sul,9054
RS,43,05207,4305207,430520,Cerro Largo,13710
RS,43,05306,4305306,430530,Chapada,9475
RS,43,05355,4305355,430535,Charqueadas,34954
RS,43,05371,4305371,430537,Charrua,3345
RS,43,05405,4305405,430540,Chiapetta,3901
RS,43,05439,4305439,430543,Chuí,6438
RS,43,05447,4305447,430544,Chuvisca,4583
RS,43,05454,4305454,430545,Cidreira,16742
RS,43,05504,4305504,430550,Ciríaco,4142
RS,43,05587,4305587,430558,Colinas,2415
RS,43,05603,4305603,430560,Colorado,3258
RS,43,05702,4305702,430570,Condor,6406
RS,43,05801,4305801,430580,Constantina,10383
RS,43,05835,4305835,430583,Coqueiro Baixo,1284
RS,43,05850,4305850,430585,Coqueiros do Sul,2204
RS,43,05871,4305871,430587,Coronel Barros,2819
RS,43,05900,4305900,430590,Coronel Bicaco,6082
RS,43,05934,4305934,430593,Coronel Pilar,1592
RS,43,05959,4305959,430595,Cotiporã,3850
RS,43,05975,4305975,430597,Coxilha,3172
RS,43,06007,4306007,430600,Crissiumal,12852
RS,43,06056,4306056,430605,Cristal,7352
RS,43,06072,4306072,430607,Cristal do Sul,2694
RS,43,06106,4306106,430610,Cruz Alta,59057
RS,43,06130,4306130,430613,Cruzaltense,1635
RS,43,06205,4306205,430620,Cruzeiro do Sul,11618
RS,43,06304,4306304,430630,David Canabarro,4324
RS,43,06320,4306320,430632,Derrubadas,2749
RS,43,06353,4306353,430635,Dezesseis de Novembro,2506
RS,43,06379,4306379,430637,Dilermando de Aguiar,2806
RS,43,06403,4306403,430640,Dois Irmãos,30551
RS,43,06429,4306429,430642,Dois Irmãos das Missões,2063
RS,43,06452,4306452,430645,Dois Lajeados,2965
RS,43,06502,4306502,430650,Dom Feliciano,13059
RS,43,06551,4306551,430655,Dom Pedro de Alcântara,2499
RS,43,06601,4306601,430660,Dom Pedrito,36559
RS,43,06700,4306700,430670,Dona Francisca,3079
RS,43,06734,4306734,430673,Doutor Maurício Cardoso,4470
RS,43,06759,4306759,430675,Doutor Ricardo,1866
RS,43,06767,4306767,430676,Eldorado do Sul,39330
RS,43,06809,4306809,430680,Encantado,22391
RS,43,06908,4306908,430690,Encruzilhada do Sul,22276
RS,43,06924,4306924,430692,Engenho Velho,1291
RS,43,06932,4306932,430693,Entre-Ijuís,9157
RS,43,06957,4306957,430695,Entre Rios do Sul,2681
RS,43,06973,4306973,430697,Erebango,3037
RS,43,07005,4307005,430700,Erechim,105428
RS,43,07054,4307054,430705,Ernestina,3021
RS,43,07104,4307104,430710,Herval,6380
RS,43,07203,4307203,430720,Erval Grande,4908
RS,43,07302,4307302,430730,Erval Seco,6748
RS,43,07401,4307401,430740,Esmeralda,3175
RS,43,07450,4307450,430745,Esperança do Sul,3225
RS,43,07500,4307500,430750,Espumoso,15118
RS,43,07559,4307559,430755,Estação,5517
RS,43,07609,4307609,430760,Estância Velha,48682
RS,43,07708,4307708,430770,Esteio,74653
RS,43,07807,4307807,430780,Estrela,31909
RS,43,07815,4307815,430781,Estrela Velha,3066
RS,43,07831,4307831,430783,Eugênio de Castro,2633
RS,43,07864,4307864,430786,Fagundes Varela,2566
RS,43,07906,4307906,430790,Farroupilha,74879
RS,43,08003,4308003,430800,Faxinal do Soturno,6686
RS,43,08052,4308052,430805,Faxinalzinho,2521
RS,43,08078,4308078,430807,Fazenda Vilanova,4298
RS,43,08102,4308102,430810,Feliz,15174
RS,43,08201,4308201,430820,Flores da Cunha,33430
RS,43,08250,4308250,430825,Floriano Peixoto,2038
RS,43,08300,4308300,430830,Fontoura Xavier,9573
RS,43,08409,4308409,430840,Formigueiro,6439
RS,43,08433,4308433,430843,Forquetinha,2521
RS,43,08458,4308458,430845,Fortaleza dos Valos,4455
RS,43,08508,4308508,430850,Frederico Westphalen,32284
RS,43,08607,4308607,430860,Garibaldi,35219
RS,43,08656,4308656,430865,Garruchos,2615
RS,43,08706,4308706,430870,Gaurama,5676
RS,43,08805,4308805,430880,General Câmara,7346
RS,43,08854,4308854,430885,Gentil,1745
RS,43,08904,4308904,430890,Getúlio Vargas,18111
RS,43,09001,4309001,430900,Giruá,15971
RS,43,09050,4309050,430905,Glorinha,7653
RS,43,09100,4309100,430910,Gramado,44643
RS,43,09126,4309126,430912,Gramado dos Loureiros,2003
RS,43,09159,4309159,430915,Gramado Xavier,3304
RS,43,09209,4309209,430920,Gravataí,279205
RS,43,09258,4309258,430925,Guabiju,1396
RS,43,09308,4309308,430930,Guaíba,91304
RS,43,09407,4309407,430940,Guaporé,24958
RS,43,09506,4309506,430950,Guarani das Missões,7554
RS,43,09555,4309555,430955,Harmonia,5660
RS,43,09571,4309571,430957,Herveiras,2559
RS,43,09605,4309605,430960,Horizontina,18852
RS,43,09654,4309654,430965,Hulha Negra,5851
RS,43,09704,4309704,430970,Humaitá,4690
RS,43,09753,4309753,430975,Ibarama,3722
RS,43,09803,4309803,430980,Ibiaçá,4560
RS,43,09902,4309902,430990,Ibiraiaras,6764
RS,43,09951,4309951,430995,Ibirapuitã,4159
RS,43,10009,4310009,431000,Ibirubá,21733
RS,43,10108,4310108,431010,Igrejinha,33173
RS,43,10207,4310207,431020,Ijuí,85135
RS,43,10306,4310306,431030,Ilópolis,4094
RS,43,10330,4310330,431033,Imbé,27053
RS,43,10363,4310363,431036,Imigrante,3082
RS,43,10405,4310405,431040,Independência,6519
RS,43,10413,4310413,431041,Inhacorá,2011
RS,43,10439,4310439,431043,Ipê,6554
RS,43,10462,4310462,431046,Ipiranga do Sul,1714
RS,43,10504,4310504,431050,Iraí,7489
RS,43,10538,4310538,431053,Itaara,5747
RS,43,10553,4310553,431055,Itacurubi,2995
RS,43,10579,4310579,431057,Itapuca,1937
RS,43,10603,4310603,431060,Itaqui,35408
RS,43,10652,4310652,431065,Itati,2941
RS,43,10702,4310702,431070,Itatiba do Sul,3206
RS,43,10751,4310751,431075,Ivorá,2012
RS,43,10801,4310801,431080,Ivoti,22911
RS,43,10850,4310850,431085,Jaboticaba,3754
RS,43,10876,4310876,431087,Jacuizinho,2028
RS,43,10900,4310900,431090,Jacutinga,3198
RS,43,11007,4311007,431100,Jaguarão,26583
RS,43,11106,4311106,431110,Jaguari,10527
RS,43,11122,4311122,431112,Jaquirana,3692
RS,43,11130,4311130,431113,Jari,3349
RS,43,11155,4311155,431115,Jóia,7123
RS,43,11205,4311205,431120,Júlio de Castilhos,18121
RS,43,11239,4311239,431123,Lagoa Bonita do Sul,2253
RS,43,11254,4311254,431125,Lagoão,5343
RS,43,11270,4311270,431127,Lagoa dos Três Cantos,1726
RS,43,11304,4311304,431130,Lagoa Vermelha,27598
RS,43,11403,4311403,431140,Lajeado,97432
RS,43,11429,4311429,431142,Lajeado do Bugre,2569
RS,43,11502,4311502,431150,Lavras do Sul,7458
RS,43,11601,4311601,431160,Liberato Salzano,4664
RS,43,11627,4311627,431162,Lindolfo Collor,6156
RS,43,11643,4311643,431164,Linha Nova,1763
RS,43,11700,4311700,431170,Machadinho,5729
RS,43,11718,4311718,431171,Maçambará,4427
RS,43,11734,4311734,431173,Mampituba,2954
RS,43,11759,4311759,431175,Manoel Viana,6732
RS,43,11775,4311775,431177,Maquiné,8222
RS,43,11791,4311791,431179,Maratá,2515
RS,43,11809,4311809,431180,Marau,46643
RS,43,11908,4311908,431190,Marcelino Ramos,4314
RS,43,11981,4311981,431198,Mariana Pimentel,3889
RS,43,12005,4312005,431200,Mariano Moro,1856
RS,43,12054,4312054,431205,Marques de Souza,3928
RS,43,12104,4312104,431210,Mata,4697
RS,43,12138,4312138,431213,Mato Castelhano,2552
RS,43,12153,4312153,431215,Mato Leitão,4848
RS,43,12179,4312179,431217,Mato Queimado,1793
RS,43,12203,4312203,431220,Maximiliano de Almeida,4763
RS,43,12252,4312252,431225,Minas do Leão,7470
RS,43,12302,4312302,431230,Miraguaí,4388
RS,43,12351,4312351,431235,Montauri,1495
RS,43,12377,4312377,431237,Monte Alegre dos Campos,3610
RS,43,12385,4312385,431238,Monte Belo do Sul,2584
RS,43,12401,4312401,431240,Montenegro,66878
RS,43,12427,4312427,431242,Mormaço,2748
RS,43,12443,4312443,431244,Morrinhos do Sul,3091
RS,43,12450,4312450,431245,Morro Redondo,5568
RS,43,12476,4312476,431247,Morro Reuter,6124
RS,43,12500,4312500,431250,Mostardas,13035
