Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
C430673000009,Ausente,0,0.2
C430673000016,Ausente,0,0.2
C430673000028,Presente,0,0.3
C430673000020,Ausente,0,0.2
C430673000008,Ausente,0,0.6
C430673000006,Ausente,0,0.3
C430673000004,Ausente,0,0.3
C430673000013,Ausente,0,0.2
C430673000011,Ausente,0,0.2
C430045000006,Ausente,0,1.4
C430045000008,Presente,0.08,3.6
I430045000002,Presente,0,2
C430045000013,Ausente,0.4,0.8
C430045000009,Presente,0.26,1.6
C430045000012,Ausente,0.06,2
C430045000020,Ausente,0.08,0.8
S432180000001,Ausente,0.61,0.2
S432180000001,Ausente,1.63,0.3
S432180000001,Ausente,0.78,0.2
S432180000001,Ausente,1.61,0.3
S432180000001,Ausente,1.59,0.3
S432180000001,Ausente,1.62,3
S432180000001,Ausente,1.36,0.3
C431849000001,Ausente,0.14,0.3
S431849000001,Ausente,0.21,0.2
C431849000005,Ausente,0.16,0.4
C431849000009,Ausente,0.24,0.4
C431849000002,Ausente,0.25,0.3
C431849000010,Ausente,0,0.2
S430030000001,Ausente,0.89,0.2
C430030000028,Ausente,0,0.2
S430030000001,Ausente,0.46,0.3
C430030000015,Ausente,0,0.4
C430030000016,Ausente,0,0.3
C430030000032,Ausente,0,0.3
C432210000021,Ausente,0,0.2
C432210000015,Ausente,0.51,0.4
C432210000014,Ausente,0.43,0.2
C432210000006,Ausente,0,0.2
S430030000001,Ausente,0.79,0.4
C430030000013,Presente,0,2.4
C432210000003,Ausente,0,0.2
I432210000003,Ausente,0,0.2
C430030000029,Presente,0,0.3
C432210000029,Ausente,0,0.2
S431720000001,Ausente,1.02,0.4
S431720000001,Ausente,0.53,0.6
C431720000039,Ausente,0,0.3
C431720000036,Ausente,0,0.3
S431720000001,Ausente,1.04,0.3
C431720000005,Ausente,0,0.4
C431720000039,Ausente,0,0.4
S431720000001,Ausente,1.19,0.5
S431720000001,Ausente,1.11,0.4
S431720000001,Ausente,1.19,0.5
C431720000002,Ausente,0,0.2
C432210000020,Presente,0,0.2
C432210000028,Presente,0.8,0.3
C432210000010,Presente,0,0.2
I432210000003,Ausente,0,0.6
I432210000006,Ausente,0,1.1
C432210000019,Ausente,0,0.5
C432210000016,Presente,0,0.3
C432210000028,Ausente,1.01,0.5
C432210000010,Presente,0,0.6
C432210000007,Presente,0,0.5
C432210000008,Ausente,0,0.7
C430045000002,Ausente,0.6,0.2
C430045000017,Ausente,0.16,1.3
C430045000005,Ausente,0.17,0.3
C430045000003,Presente,0.06,1.9
C430045000019,Ausente,0.19,0.2
C430045000018,Ausente,0.21,0.4
S432210000001,Ausente,0.53,0.7
S432210000001,Ausente,0.42,0.9
S432210000001,Ausente,0.5,0.5
S432210000001,Ausente,0.85,0.4
I432210000003,Ausente,0,0.3
I431040000044,Ausente,0,0.2
I431040000052,Presente,0,0.3
S431040000001,Ausente,1.1,0.3
I431040000007,Ausente,0,1.7
I431040000045,Ausente,0,0.4
I431040000106,Ausente,0,0.2
S431040000001,Ausente,1,0.4
C431040000009,Ausente,0,0.2
S431040000001,Ausente,1.5,0.3
C431720000014,Não realizada,0,0.5
C431849000004,Ausente,0.26,1.4
C431849000003,Presente,0.1,0.6
C431849000008,Presente,0,0.3
C431849000012,Ausente,0.58,0.3
C431849000014,Ausente,0.2,0.8
S431849000001,Ausente,0.2,0.3
S431720000001,Ausente,0.74,0.3
C431720000037,Ausente,0,0.2
C431720000038,Ausente,0,0.2
S431720000001,Ausente,1.13,0.6
S431720000001,Ausente,1.06,0.5
C431720000003,Ausente,0,1.3
S431720000001,Ausente,1.23,0.4
S431720000001,Ausente,1.07,0.3
S431720000001,Ausente,1.19,0.6
S431720000001,Ausente,1.12,0.4
S431720000001,Ausente,0.9,0.4
S431720000001,Ausente,1.04,0.2
S431720000001,Ausente,0.94,0.4
C430673000002,Presente,0,0.2
C430673000026,Ausente,0,0.3
C430673000012,Ausente,0,0.2
C430673000026,Ausente,0,0.8
C430673000008,Presente,0,0.4
C430673000012,Presente,0,0.4
C430673000018,Ausente,0,0.4
C430673000011,Ausente,0,0.5
C430673000003,Presente,0,0.6
C431790000031,Presente,0,1.5
C431790000035,Ausente,0,0.4
C431790000031,Ausente,0,0.2
C431790000013,Ausente,0,0.2
C431790000005,Ausente,0,0.2
C431790000033,Presente,0,0.2
I431790000015,Presente,0,0.6
C431790000024,Ausente,0,0.3
C431790000017,Presente,0,0.4
C431790000028,Ausente,0,0.3
C431507000003,Ausente,0.19,1.3
C431507000016,Ausente,0.24,0.5
C431507000017,Ausente,0.18,0.7
C431507000011,Ausente,0.16,0.4
C431507000015,Ausente,0.19,0.4
C431507000007,Ausente,0.16,0.3
C431507000004,Presente,0.12,10.6
C431507000010,Ausente,0.13,0.8
C431507000015,Ausente,0.18,0.6
C431507000016,Ausente,0.2,0.6
C431507000002,Ausente,0.42,0.6
C431507000005,Ausente,0,0.5
C431507000001,Ausente,0.1,0.4
S431720000001,Ausente,0.93,0.5
S431720000001,Ausente,0.23,0.2
S431720000001,Ausente,1.12,0.1
S431720000001,Ausente,0.37,0.2
S431720000001,Ausente,0.93,0.1
S431720000001,Ausente,1.12,0.4
S431720000001,Ausente,1.21,0.3
S431720000001,Ausente,0.98,0.1
S431720000001,Ausente,0.19,0.6
S431720000001,Ausente,0.7,0.3
I431790000014,Ausente,0,0.1
I431790000020,Presente,0,0.4
I431790000021,Presente,0,0.3
C431790000007,Ausente,0,0.1
S431790000001,Ausente,0.52,0.1
C431790000003,Ausente,0,0.1
S431790000001,Ausente,0.64,0.1
S431790000001,Ausente,0.44,0.1
C431790000025,Presente,0,0.2
C431790000014,Ausente,0,0.1
C431790000002,Ausente,0,0.1
S430430000001,Ausente,1.25,0.6
C430430000027,Ausente,0.5,0.6
C430220000034,Ausente,0,0.7
C430220000035,Presente,0,1
C430220000033,Ausente,0,5.3
S430430000001,Ausente,1.2,0.5
C430430000013,Ausente,0,0.8
C430430000001,Ausente,0,0.9
C430430000003,Ausente,0,0.4
C430430000015,Ausente,0,0.6
S430430000001,Ausente,1.2,1.2
C430430000011,Ausente,0.5,0.3
C430430000011,Ausente,0.5,0.5
C430430000002,Presente,0,0.4
C430430000030,Ausente,0,0.7
S430430000001,Ausente,1.7,0.5
S430430000001,Ausente,1.7,0.5
S430430000001,Ausente,1.7,0.3
C430430000010,Ausente,0,0.3
C430430000028,Ausente,0.4,0.3
C430430000029,Ausente,0,0.7
C430430000030,Ausente,0,0.4
C431505000013,Ausente,0,0.2
C431505000012,Ausente,0,0.2
C431505000011,Presente,0,0.8
C431505000003,Presente,0,0.1
C431505000001,Ausente,0,0.1
C431505000015,Ausente,0,0.1
C431505000004,Ausente,0,0.2
C431505000002,Presente,0,0.2
C431930000033,Presente,0,0.9
C431930000039,Ausente,0.13,0.5
C431930000040,Ausente,0.36,0.5
C431930000041,Ausente,0.71,0.4
C431930000034,Ausente,0,5
C431930000037,Ausente,0.11,0.5
C431930000038,Ausente,0.04,0.3
C431301000034,Ausente,0.1,0.8
C431301000022,Ausente,1,0.7
C431301000025,Ausente,0.5,1.8
C431301000028,Ausente,1.2,0.4
C431301000018,Ausente,0.4,0.4
C431301000027,Ausente,1.1,0.3
C431301000015,Ausente,0.2,0.4
C431301000016,Ausente,1.2,0.3
C431301000039,Ausente,0,0.3
C431301000024,Ausente,1,0.4
C431301000023,Ausente,2.5,0.3
C431301000033,Ausente,0.7,0.7
C431301000017,Ausente,0.7,0.2
C430673000012,Presente,0,0.3
S430673000001,Ausente,1.16,0.1
S430673000001,Presente,0,0.1
S430673000001,Ausente,0.72,0.2
S430673000001,Ausente,0.96,0.1
C430673000016,Ausente,0,0.2
S430673000001,Ausente,0.74,0.2
S430673000001,Ausente,0.6,0.1
S430673000001,Ausente,0.89,0.1
S431720000001,Ausente,1.43,0.2
S431720000001,Ausente,1.02,0.1
S431720000001,Ausente,0.52,0.1
S431720000001,Ausente,0.11,0.1
S431720000001,Ausente,0.78,0.1
C431720000010,Presente,0,0.2
S431720000001,Ausente,1.12,0.2
C431720000014,Ausente,0,0.2
S431720000001,Ausente,1.03,0.1
S431720000001,Ausente,0.82,0.1
C432180000003,Ausente,0,0.4
C432180000006,Presente,0,3.3
C432180000022,Ausente,0,0.5
C432180000009,Ausente,0,0.1
C431342000003,Ausente,0,0.4
C431342000012,Presente,0,0.8
C431342000009,Presente,0,0.5
C431342000021,Ausente,0,0.8
C431342000029,Ausente,0,0.6
C431342000011,Ausente,0,0.4
C431342000007,Ausente,0,0.6
C431342000008,Ausente,0,0.4
C431342000025,Presente,0,0.5
C431342000026,Ausente,0,0.6
C431342000001,Ausente,0,0.2
C431342000028,Ausente,0,0.5
S431849000001,Ausente,0.26,0.1
C431849000004,Ausente,0.28,0.4
C431849000006,Ausente,0.46,0.2
C431849000013,Ausente,0.21,0.1
C431849000007,Presente,0.17,0.1
